CASE;QUESTNNR;MODE;STARTED;SA04_01;SA04_02;SA04_03;Attraktivität Mittelwert;SS01_01;SS01_02;SS01_03;SS01_04;SS01_05;SS01_06;SS01_07;SS01_08;SS01_09;SS01_10;WIRKALL-K;GA01_01;GA01_02;GA01_03;GA01_04;GA01_05;GA01_06;GWALL Mittelwert;GP01_01;GP01_02;GP01_03;GP01_04;GP01_05;GP01_06;GP01_07;GWPER Mittelwert;AG01;AG02_01;AG06;AG04;AG03;AG05;TIME001;TIME002;TIME003;TIME004;TIME005;TIME_SUM;LASTDATA;FINISHED;Q_VIEWER;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI;DEG_TIME
72;base;interview;06.06.2017 15:48;6;4;3;4,333333333;3;3;3;3;3;2;3;2;2;3;27;4;5;5;3;6;6;4,833333333;3;2;6;3;4;2;2;3,142857143;1;27;1;1;4;4;10;17;83;117;27;254;06.06.2017 15:53;1;0;5;5;0;0;1,14;9
73;base;interview;07.06.2017 00:15;6;6;6;6;3;3;3;2;3;2;3;3;3;3;28;3;3;4;2;3;3;3;2;3;4;5;3;2;3;3,142857143;2;26;1;1;4;4;13;14;55;224;34;228;07.06.2017 00:21;1;0;5;5;0;0;1,09;11
74;base;interview;07.06.2017 08:39;6;6;6;6;3;3;3;3;4;4;4;3;3;3;33;6;6;5;5;4;3;4,833333333;2;3;3;2;3;2;3;2,571428571;1;26;3;2;2;2;7;31;85;122;26;271;07.06.2017 08:44;1;0;5;5;0;0;1,13;11
75;base;interview;07.06.2017 11:40;3;3;3;3;3;3;3;2;3;3;3;3;3;3;29;3;3;4;3;3;2;3;2;2;2;2;1;2;2;1,857142857;2;22;1;1;4;3;18;49;79;137;31;314;07.06.2017 11:45;1;0;5;5;0;0;0,78;0
76;base;interview;07.06.2017 14:14;5;4;5;4,666666667;3;3;3;3;3;3;3;3;3;2;29;6;6;1;5;5;5;4,666666667;2;3;3;3;3;3;3;2,857142857;2;23;1;1;4;3;2;22;59;103;28;214;07.06.2017 14:18;1;0;5;5;0;0;1,48;64
77;base;interview;07.06.2017 16:15;6;6;6;6;2;3;3;2;3;3;4;4;3;3;30;4;4;2;3;4;5;3,666666667;2;2;3;2;3;3;3;2,571428571;2;26;2;1;4;2;79;20;46;91;22;193;07.06.2017 16:19;1;0;5;5;0;0;1,09;13
78;base;interview;08.06.2017 09:45;5;5;5;5;2;3;3;3;3;2;3;3;3;3;28;2;2;4;3;4;3;3;2;2;2;2;2;2;2;2;2;20;2;1;2;2;26;19;155;131;43;288;08.06.2017 09:52;1;0;5;5;0;0;0,76;3
79;base;interview;09.06.2017 09:24;4;5;3;4;2;3;2;1;2;2;3;2;2;2;21;5;2;4;3;3;4;3,5;2;2;2;2;5;1;2;2,285714286;2;27;2;1;4;3;106;16;67;141;23;261;09.06.2017 09:30;1;0;5;5;0;0;0,95;8
80;base;interview;11.06.2017 10:46;5;6;6;5,666666667;3;4;3;3;3;4;4;3;3;3;33;4;4;3;6;5;4;4,333333333;2;2;2;2;1;1;3;1,857142857;2;24;1;1;4;3;16;15;83;130;16;260;11.06.2017 10:50;1;0;5;5;0;0;1,21;15
81;base;interview;12.06.2017 06:44;6;5;6;5,666666667;3;4;3;3;3;3;4;3;2;2;30;5;4;5;5;3;4;4,333333333;2;2;2;2;3;2;2;2,142857143;1;18;1;1;2;2;32;40;100;149;48;369;12.06.2017 06:50;1;0;5;5;0;0;0,62;0
82;base;interview;12.06.2017 11:22;5;4;5;4,666666667;3;3;3;3;4;2;3;3;3;2;29;5;5;5;4;3;3;4,166666667;2;2;2;2;3;3;1;2,142857143;1;19;2;1;2;2;18;36;85;121;21;281;12.06.2017 11:26;1;0;5;5;0;0;0,92;4
